skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
imagegen,.system/imagegen,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,23963
openai-docs,.system/openai-docs,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use when the user asks how to build with OpenAI products or APIs, asks about Codex itself or choosing Codex surfaces, needs up-to-date official documentation with citations, help choosing the latest model for a use case, latest/current/defa","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,22804
plugin-creator,.system/plugin-creator,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. Use when Codex needs to create a new personal","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,11036
review-agent,.system/review-agent,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Perform a read-only, defect-first review of a specified code change and return every actionable finding. Use when another agent delegates review of uncommitted changes, a base-branch diff, a commit, or custom review instructions.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,2659
skill-creator,.system/skill-creator,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Codex's capabilities with specialized knowledge, workflows, or tool integrations.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,21897
skill-installer,.system/skill-installer,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,3367
accessibility-and-inclusive-visualization,accessibility-and-inclusive-visualization,D - UI/UX,P2,"Make data visualizations accessible and inclusive. Use when the user needs chart or diagram accessibility guidance, text alternatives for complex visuals, color and contrast review, keyboard support, reduced-motion behavior for animation or","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep for UI work,6445
address-sanitizer,address-sanitizer,B - TASK-TRIGGERED,P2,>,Use only when its described task is active.,Occasional,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep on-demand,11272
aflpp,aflpp,C - SECURITY GATE,P1,>,"Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep as security gate,19785
agent-browser,agent-browser,D - UI/UX,P2,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, verify dev server output, test web apps, navigate pages, fill forms, click buttons, take screenshots, extract data, or automate any browser task. Also ","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep for UI work,6616
agent-browser-verify,agent-browser-verify,D - UI/UX,P2,"Automated browser verification for dev servers. Triggers when a dev server starts to run a visual gut-check with agent-browser — verifies the page loads, checks for console errors, validates key UI elements, and reports pass/fail before con","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep for UI work,6535
agent-framework-azure-ai-py,agent-framework-azure-ai-py,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Build Azure AI Foundry agents using the Microsoft Agent Framework Python SDK (agent-framework-azure-ai). Use when creating persistent agents with AzureAIAgentsProvider, using hosted tools (code interpreter, file search, web search), integra","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,12269
agentic-actions-auditor,agentic-actions-auditor,C - SECURITY GATE,P1,"Audits GitHub Actions workflows for security vulnerabilities in AI agent integrations including Claude Code Action, Gemini CLI, OpenAI Codex, and GitHub AI Inference. Detects attack vectors where attacker-controlled input reaches AI agents ","Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep as security gate,21526
agents-sdk,agents-sdk,A - CORE / FREQUENT,P1,"Build AI agents on Cloudflare Workers using the Agents SDK. Load when creating stateful agents, durable workflows, real-time WebSocket apps, scheduled tasks, MCP servers, or chat applications. Covers Agent class, state management, callable ","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution,Keep as core candidate,5581
ai-elements,ai-elements,D - UI/UX,P2,"AI Elements component library guidance — pre-built React components for AI interfaces built on shadcn/ui. Use when building chat UIs, message displays, tool call rendering, streaming responses, reasoning panels, or any AI-native interface w","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution,Keep for UI work,21414
ai-gateway,ai-gateway,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel AI Gateway expert guidance. Use when configuring model routing, provider failover, cost tracking, or managing multiple AI providers through a unified API.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,19002
ai-generation-persistence,ai-generation-persistence,E - INFRASTRUCTURE / DEPLOYMENT,P2,"AI generation persistence patterns — unique IDs, addressable URLs, database storage, and cost tracking for every LLM generation","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,7719
ai-sdk,ai-sdk,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel AI SDK expert guidance. Use when building AI-powered features — chat interfaces, text generation, structured output, tool calling, agents, MCP integration, streaming, embeddings, reranking, image generation, or working with any LLM p","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,32926
aiq-deploy,aiq-deploy,D - UI/UX,P2,/,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep for UI work,13321
aiq-research,aiq-research,E - INFRASTRUCTURE / DEPLOYMENT,P2,/,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,12821
airtable-cli,airtable-cli,F - DOMAIN-SPECIFIC / FUTURE,P3,>-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8549
airtable-filters,airtable-filters,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use this skill when the user wants to find, filter, or narrow down Airtable records by field values, even when they don't explicitly say ""filter.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,7235
airtable-overview,airtable-overview,F - DOMAIN-SPECIFIC / FUTURE,P3,"Explains what Airtable is and how data is structured — bases, tables, fields, records, views, automations, and interfaces. Use when you need context about the Airtable data model.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,2061
airunway-aks-setup,airunway-aks-setup,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Set up AI Runway on AKS — from bare cluster to running model. Covers cluster verification, controller install, GPU assessment, provider setup, and first deployment. WHEN: \""setup AI Runway\"", \""onboard AKS cluster\"", \""install AI Runway\"", ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,4085
algorand-vulnerability-scanner,algorand-vulnerability-scanner,H - IRRELEVANT TO FLOW,P4,"Scans Algorand smart contracts for 11 common vulnerabilities including rekeying attacks, unchecked transaction fees, missing field validations, and access control issues. Use when auditing Algorand projects (TEAL/PyTeal).",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling,Candidate to disable after approval; review before use with credentials or shell access,8842
algorithmic-art,algorithmic-art,H - IRRELEVANT TO FLOW,P4,"Creating algorithmic art using p5.js with seeded randomness and interactive parameter exploration. Use this when users request creating art using code, generative art, algorithmic art, flow fields, or particle systems. Create original algor",No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,19735
alpha,alpha,B - TASK-TRIGGERED,P2,Alpha fixture skill. Use when plugin-eval tests need one of two bundled skills.,Use only when its described task is active.,Occasional,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand,181
alphafold-skill,alphafold-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact AlphaFold Protein Structure Database API requests for prediction, UniProt summary, sequence summary, and annotation lookups. Use when a user wants AlphaFold metadata or concise structure summaries",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2536
zoom-contact-center-android,android,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Zoom Contact Center SDK for Android. Use for native Android chat/video/ZVA/scheduled callback integrations, campaign mode, service lifecycle, and rejoin handling.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,1492
android-emulator-qa,android-emulator-qa,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use when validating Android feature flows in an emulator with adb-driven launch, input, UI-tree inspection, screenshots, and logcat capture.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,3262
android-performance,android-performance,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Gather and interpret Android performance evidence on an adb target using Simpleperf CPU profiles, Perfetto or Compose traces, gfxinfo frame data, dumpsys meminfo snapshots, Java heap dumps, and native allocation traces. Use when asked to pr","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep on-demand for infra/deploy,13709
